filename,ORDER,Spoken message
10,1,Welcome to the Talking Book.
11,2,Press the right arrow to choose a subject.
41,3,"To try another subject, press the right arrow. "
35,4,Louder
36,5,Quieter
37,6,Faster
38,7,Slower
1,8,Begin speaking now and press the star when you are finished.
2,9,Recording paused. Press the center button to continue recording or press any other button to finish.
3,10,Recording complete.  Your message can be found in ______
4,11,The batteries are nearly finished. Please replace them soon.
5,12,"There are no messages on this subject  To create your own message, press the star."
6,13,Removed
7,14,Copying will now begin.  Do not disconnect the devices until you hear that the copy is complete.
8,15,Copy complete.
9,16,"To listen to another message like this one, press the up arrow. To try another subject, press the right arrow."
53,17,"I have some work to do. Please leave me alone for a minute, and do not remove my batteries."
67,18,Congratulations!  You have translated every message.
68,19,"Sorry, but you have to translate at least one message before you can finish."
69,20,"This message has not been translated yet.  Press the up arrow to listen to other translations, or press the left arrow to return to the original messages."
70,21,"You have not recorded any translations yet.  Once you do, you can press the right arrow to review them."
71,22,New Recordings
72,23,Original Messages
73,24,Please wait; this can take up to five minutes to complete.
74,25,"Warning!  Once you finish this translation, it will replace the current system language, and you will not be able to bring back the original."
78,26,This subject is now locked.
79,27,This subject is now unlocked.
80,28,"Sorry, you cannot record or remove messages on this subject."
,29,Farming
,30,"To learn about farming, press the up arrow."
,31,Business
,32,"To learn about business, press the up arrow."
,33,Literacy
,34,"To listen to literacy lesssons, press the up arrow."
,35,Fish farming
,36,"To learn about fish farming, press the up arrow."
,37,Health
,38,"To learn about health, press the up arrow."
,39,Talking Book
,40,"To learn about this device, press the up arrow."
,41,Livestock
,42,"To learn about livestock, press the up arrow."
,43,Other messages
,44,"To listen to other messages, press the up arrow."
,45,Stories
,46,"To listen to stories, press the up arrow."
,47,User feedback.
,48,"To listen to feedback from users, press the up arrow."
,49,Favorite Messages
,50,"To listen to your favorite messages, press the up arrow."
29,51,"To listen to some things you can do with this message, press the right arrow."
65,52,"To record your ideas about this message, press the black circle."
63,53,"To answer a survey question about this message, press the black circle."
62,54,"If you plan to try what you learned from this message, press the up arrow.  {2-sec pause} If this message was not helpful, press the down arrow. {2-sec pause}  If you don't want to answer, press the house."
61,55,Thank you for your feedback.
30,56,"To give this message to someone else, press the black circle."
31,57,"Make sure the other device is on but not speaking. When ready, press the black circle."
32,58,"Insert this device's black cable into the other device. When ready, press the black circle."
33,59,"If you are sure you want to remove this message, press the black circle."
13,60,"To add this message to your favorites, press the black circle."
64,61,"To move this message to the first position, press the black circle."
34,62,"To shorten this message, press the black circle."
66,63,"To listen to some things you can do with this subject, press the right arrow."
60,64,To give someone all the messages in this subject press the black circle.
59,65,To remove all messages from this subject press the black circle.
58,66,To remove this subject press the black circle.
57,67,"To move this subject to the first position, press the black circle."
81,68,"To lock or unlock this subject, press the black circle."
17,69,"To start or stop a message, press the center button"
16,70,"To turn this device on, press the center button."
28,71,"You can turn this device off by holding down the center button, but it will turn off on its own when you stop using it."
26,72,"There are many things you can do with each message.  For example, you can remove it, share it, or give your opinion about it.  To do these things, play a message and then press the black circle."
20,73,"To make a message speak quieter, press the minus sign."
21,74,"To make a message speak louder, press the plus sign."
24,75,"When a message is loud and when you listen for a long period of time, you will use up your batteries more quickly."
18,76,"To record your voice, choose a subject and press the star button. When you are finished, press the star again."
19,77,"When you record your voice, you can press the Center button to pause if you are not yet finished. Press it again to continue recording."
22,78,"To make a message speak slower, hold down the minus sign."
23,79,"To make a message speak very fast, hold down the plus sign."
25,80,"While listening to a message, hold down the left arrow to repeat what was just said."
54,81,"If you want to skip beyond part of a message, hold down the right arrow."
27,82,"To change the language or categories on this device, press the house and then hold down the black circle."
14,83,"To give someone all your messages about a subject, go to the subject and then hold down the black circle."
55,84,"To remove all messages about one subject, find the subject and then press the black circle."
47,85,Expert Mode
44,86,"To make another Talking Book become an exact copy of this one, press the black circle."
42,87,"To copy this language and all messages to someone else's Talking Book, press the black circle."
46,88,"To make changes to this language's recordings, press the black circle."
39,89,"To create a new system language, press the black circle."
45,90,If you want this device to always start-up using this language and these messages press the black circle.
40,91,"Press the up and down arrows to listen to the original messages that you will need to translate.  To record your translation of a message, press the star; if you make a mistake you can try again. To review your translations, press the right arrow and then use the up and down arrows. To return to the original messages, press the left arrow.  Finally, when you are finished or if you want to start over, press the black circle."
75,92,"If you are sure you want to finish your translation, press the black circle; or, to keep working, press the left arrow."
76,93,"If you are sure you want to erase your translation, press the black circle; or, to keep working, press the left arrow."
77,94,"To finish your translation, press the left arrow.  To erase your work and start over, press the right arrow. To keep working, press the star."
43,95,"This feature is not yet ready, but it's coming soon!"
48,96,Congratulations!  You have finished!
49,97,Correct.  Let's try another question.
50,98,"Sorry, that is not correct.  Please try again."
51,99,"To select this option, press the black circle. To try something else, press the right arrow."
52,100,Press the right arrow to listen to some options.
cat/i3-1-3,ECH_0350_00025C29,"To listen to out-of-school-teens literacy messages, press the up arrow."
cat/5-3,ECH_0350_00091034,Entrepreneurship
cat/i5-3,ECH_0350_00110D19,"To learn about entrepreneurship, press the up arrow."
cat/10-1,ECH_0350_0018CFE9,Social Issues
cat/i10-1,ECH_0350_001F5F09,"To listen to messages about social issues, press the up arrow."
cat/3-1-1,ECH_0350_003082DA,Adult literacy phase I
cat/i3-1-1,ECH_0350_00378660,"To listen to adult literacy phase I messages, press the up arrow."
cat/3-1-2,ECH_0350_003FCEA0,Adult literacy Phase II
cat/i3-1-2,ECH_0350_004785F8,"To listen to adult literacy phase II messages, press the up arrow."
cat/3-1-3,ECH_0350_004F91C8,Out-of-school-teens Literacy
,,Agriculture
,,"To learn about agriculture, press the up arrow."
,,Education
,,"To listen to education lessons, press the up arrow."
